Probentyp;Probenahmestelle;Geo Point;X-Koordinate;Y-Koordinate;Probenahmedatum;Entnahmezeit;Probenahmedauer;Reihenfolge;Gruppe;Parameter;Bestimmungsgrenze;Wert;Wert numerisch;Einheit;Auftragsnummer;Probennummer;Resultatnummer;Automatische Auswertung;CAS-Bezeichnung;BAFU-Bezeichnung;Allgemeine Parametergruppe;Probenahmedatum_date;Probenahmejahr
WASSER;F_0432;47.59577855303679,7.650238000585896;2615916.08;1271698.15;09.11.2010;14:30;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-4.00;-4.0;m;12010110806;22010110057;401987407;False;;;;2010-11-09;2010
WASSER;F_2441;47.58187699270678,7.589961952779306;2611385.59;1270142;15.02.2011;11:25;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.00;-7.0;m;12011021406;22011020088;402042476;False;;;;2011-02-15;2011
WASSER;F_2441;47.58187699270678,7.589961952779306;2611385.59;1270142;15.02.2011;11:25;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.00;-7.0;m;12011021407;22011020095;402043036;False;;;;2011-02-15;2011
WASSER;F_2616;47.58202475095419,7.597670619217722;2611965.49;1270159.57;20.06.2011;15:50;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-9.00;-9.0;m;12011062004;22011060180;402112015;False;;;;2011-06-20;2011
WASSER;F_1293;47.5525395207859,7.593876287545913;2611686.49;1266880.57;23.06.2011;09:10;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-4.00;-4.0;m;12011062004;22011060218;402117147;False;;;;2011-06-23;2011
WASSER;F_2614;47.58212342670827,7.597857006879844;2611979.49;1270170.57;07.11.2011;16:20;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.00;-7.0;m;12011110708;22011110079;402183067;False;;;;2011-11-07;2011
WASSER;F_2614;47.58212342670827,7.597857006879844;2611979.49;1270170.57;09.05.2012;08:40;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.00;-7.0;m;12012050402;22012050095;402307716;False;;;;2012-05-09;2012
WASSER;F_2614;47.58212342670827,7.597857006879844;2611979.49;1270170.57;13.11.2012;15:40;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-8.00;-8.0;m;12012110205;22012110228;402463244;False;;;;2012-11-13;2012
WASSER;F_2614;47.58212342670827,7.597857006879844;2611979.49;1270170.57;12.08.2013;09:40;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.50;-7.5;m;12013081503;22013080155;402694334;False;;;;2013-08-12;2013
WASSER;F_2614;47.58212342670827,7.597857006879844;2611979.49;1270170.57;04.11.2013;16:25;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.20;-7.2;m;12013103103;22013100318;402750618;False;;;;2013-11-04;2013
WASSER;F_0432;47.59577855303679,7.650238000585896;2615916.08;1271698.15;05.11.2013;15:55;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-5.00;-5.0;m;12013103102;22013100305;402748028;False;;;;2013-11-05;2013
WASSER;F_2614;47.58212342670827,7.597857006879844;2611979.49;1270170.57;05.12.2013;10:20;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-8.00;-8.0;m;12013120402;22013120044;402774965;False;;;;2013-12-05;2013
WASSER;F_1045;47.55403333657704,7.610316753552325;2612923.65;1267049.23;01.11.2021;11:40;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.00;-12.0;m;12021102604;22021100283;4501182393;False;;;;2021-11-01;2021
WASSER;F_1044;47.56756030541203,7.592923440793316;2611611.5;1268550.57;01.11.2021;09:55;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.50;-12.5;m;12021102604;22021100282;4501182184;False;;;;2021-11-01;2021
WASSER;F_1057;47.5705506239398,7.634613024655483;2614747.88;1268890.03;01.11.2021;10:50;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-9.00;-9.0;m;12021102604;22021100278;4501181408;False;;;;2021-11-01;2021
WASSER;F_1871;47.57131587210443,7.580990452538251;2610712.77;1268966.46;26.04.2021;15:40;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-16.00;-16.0;m;12021042003;22021040216;4501005884;False;;;;2021-04-26;2021
WASSER;F_1877;47.58244201221551,7.590140211515276;2611398.88;1270204.85;23.03.2021;13:20;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-8.00;-8.0;m;12021030109;22021030172;4500836925;False;;;;2021-03-23;2021
WASSER;F_1520;47.581987724901495,7.597979556383308;2611988.74;1270155.5;08.02.2021;12:15;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-13.15;-13.15;m;12021020503;22021020142;4500807133;False;;;;2021-02-08;2021
WASSER;F_1520;47.581987724901495,7.597979556383308;2611988.74;1270155.5;31.01.2022;;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-9.00;-9.0;m;12022012503;22022010317;4501254324;False;;;;2022-01-31;2022
WASSER;F_2441;47.58187699270678,7.589961952779306;2611385.59;1270142;27.03.2019;09:35;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-8.00;-8.0;m;12019032605;22019030262;4500286958;False;;;;2019-03-27;2019
WASSER;F_0432;47.59577855303679,7.650238000585896;2615916.08;1271698.15;21.05.2019;16:25;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-4.50;-4.5;m;12019051309;22019050217;4500364479;False;;;;2019-05-21;2019
WASSER;F_2441;47.58187699270678,7.589961952779306;2611385.59;1270142;25.09.2019;10:05;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.50;-7.5;m;12019091803;22019090213;4500421159;False;;;;2019-09-25;2019
WASSER;F_0432;47.59577855303679,7.650238000585896;2615916.08;1271698.15;29.10.2019;15:25;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-4.50;-4.5;m;12019102304;22019100226;4500443311;False;;;;2019-10-29;2019
WASSER;F_2441;47.58187699270678,7.589961952779306;2611385.59;1270142;02.12.2019;13:50;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-8.00;-8.0;m;12019120204;22019120142;4500485842;False;;;;2019-12-02;2019
WASSER;F_2441;47.58187699270678,7.589961952779306;2611385.59;1270142;17.03.2020;09:35;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.00;-7.0;m;12020031805;22020030244;4500579693;False;;;;2020-03-17;2020
WASSER;F_0432;47.59577855303679,7.650238000585896;2615916.08;1271698.15;05.05.2020;15:15;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-4.50;-4.5;m;12020042805;22020040264;4500623065;False;;;;2020-05-05;2020
WASSER;F_2441;47.58187699270678,7.589961952779306;2611385.59;1270142;21.10.2020;09:45;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-8.00;-8.0;m;12020101905;22020100219;4500740061;False;;;;2020-10-21;2020
WASSER;F_1907;47.581245106997976,7.591746763127437;2611520;1270072;12.12.2019;10:20;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-6.50;-6.5;m;12019120204;22019120140;4500485786;False;;;;2019-12-12;2019
WASSER;F_1196;47.58194895867985,7.586797114601894;2611147.48;1270149.55;22.05.2019;15:05;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-6.00;-6.0;m;12019051309;22019050206;4500362167;False;;;;2019-05-22;2019
WASSER;F_1081;47.579920818101,7.643628785509294;2615423.58;1269933.62;05.05.2020;11:00;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-17.00;-17.0;m;12020042805;22020040273;4500624937;False;;;;2020-05-05;2020
WASSER;F_1097;47.53569707166501,7.605695311588096;2612580.11;1265009.71;20.02.2019;10:45;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-14.00;-14.0;m;12019021806;22019020205;4500280000;False;;;;2019-02-20;2019
WASSER;F_1097;47.53569707166501,7.605695311588096;2612580.11;1265009.71;22.05.2019;12:00;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-14.00;-14.0;m;12019051309;22019050205;4500362318;False;;;;2019-05-22;2019
WASSER;F_1196;47.58194895867985,7.586797114601894;2611147.48;1270149.55;17.08.2005;09:40;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-5.60;-5.6;m;12005081602;22005080101;401260912;False;;;;2005-08-17;2005
WASSER;F_1196;47.58194895867985,7.586797114601894;2611147.48;1270149.55;04.09.2006;08:10;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.00;-7.0;m;12006090402;22006090029;401378781;False;;;;2006-09-04;2006
WASSER;F_1196;47.58194895867985,7.586797114601894;2611147.48;1270149.55;04.08.2008;08:45;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.00;-7.0;m;12008080406;22008080034;401637300;False;;;;2008-08-04;2008
WASSER;F_2614;47.58212342670827,7.597857006879844;2611979.49;1270170.57;04.05.2004;08:00;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.50;-7.5;m;12004050303;22004050099;401146263;False;;;;2004-05-04;2004
WASSER;F_0802;47.57388917462082,7.644766367945132;2615510.92;1269263.19;13.11.2017;11:20;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-24.00;-24.0;m;12017110805;22017110064;404062291;False;;;;2017-11-13;2017
WASSER;F_0802;47.57388917462082,7.644766367945132;2615510.92;1269263.19;29.05.2018;09:55;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-24.00;-24.0;m;12018052506;22018051226;4500011268;False;;;;2018-05-29;2018
WASSER;F_0802;47.57388917462082,7.644766367945132;2615510.92;1269263.19;23.10.2018;10:00;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-24.00;-24.0;m;12018101903;22018100215;4500147731;False;;;;2018-10-23;2018
WASSER;F_0734;47.57588308427312,7.582275887248175;2610808.57;1269474.46;19.08.2016;09:50;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.00;-12.0;m;12016081602;22016080145;403663408;False;;;;2016-08-19;2016
WASSER;F_1196;47.58194895867985,7.586797114601894;2611147.48;1270149.55;23.05.2016;16:00;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-6.00;-6.0;m;12016051903;22016050187;403570179;False;;;;2016-05-23;2016
WASSER;F_1196;47.58194895867985,7.586797114601894;2611147.48;1270149.55;30.05.2018;11:15;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-6.00;-6.0;m;12018052506;22018051213;4500008608;False;;;;2018-05-30;2018
WASSER;F_1111;47.53892060689241,7.602674539644802;2612351.91;1265367.65;18.04.2016;11:15;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.00;-12.0;m;12016041402;22016040166;403532321;False;;;;2016-04-18;2016
WASSER;F_1081;47.579920818101,7.643628785509294;2615423.58;1269933.62;25.04.2016;10:10;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-17.00;-17.0;m;12016042502;22016040266;403557560;False;;;;2016-04-25;2016
WASSER;F_1081;47.579920818101,7.643628785509294;2615423.58;1269933.62;04.05.2017;12:10;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-17.00;-17.0;m;12017042604;22017040251;403897273;False;;;;2017-05-04;2017
WASSER;F_0801;47.57989425786064,7.648440336745981;2615785.58;1269931.62;29.10.2019;10:55;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-18.00;-18.0;m;12019102304;22019100229;4500443952;False;;;;2019-10-29;2019
WASSER;F_0801;47.57989425786064,7.648440336745981;2615785.58;1269931.62;03.11.2020;14:05;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-18.00;-18.0;m;12020102804;22020100242;4500754665;False;;;;2020-11-03;2020
WASSER;F_1057;47.5705506239398,7.634613024655483;2614747.88;1268890.03;21.05.2019;09:05;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-9.00;-9.0;m;12019051309;22019050222;4500363704;False;;;;2019-05-21;2019
WASSER;F_1045;47.55403333657704,7.610316753552325;2612923.65;1267049.23;22.05.2019;13:50;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-16.40;-16.4;m;12019051309;22019050203;4500362620;False;;;;2019-05-22;2019
WASSER;F_1044;47.56756030541203,7.592923440793316;2611611.5;1268550.57;22.05.2019;10:05;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.00;-12.0;m;12019051309;22019050202;4500362771;False;;;;2019-05-22;2019
